Solubility(%)	pdb
0	1TLZ
1	1T1L
1	1KMO
2	1DNP
3	1PHO
4	1I78
4	1DB3
5	1ECR
6	2KCE
7	1S7B
8	1NZU
8	1AL3
9	1U08
9	1THQ
9	1R8G
9	1L7V
10	2UDP
10	1SZQ
10	1NEN
10	1FW2
11	1U05
11	1QSA
11	1LQA
11	1K70
11	1I2L
11	1I29
11	1FXX
12	1SUR
12	1BL0
13	1SIW
13	1OG9
13	1D5Y
14	1Q9F
14	1LQM
14	1GVF
15	1PMO
15	1K77
15	1EC7
16	1TQQ
16	1RP7
16	1OK7
16	1HL2
16	1EJ0
16	1ECG
17	1NS5
17	1FDR
17	1BJO
18	1OPF
18	1MC3
18	1M7X
18	1D2F
19	1UAA
19	1SDI
19	1Q1E
19	1PII
19	1KP3
19	1GL3
19	1FFT
20	1KLF
20	1CHU
22	1QJ5
22	1LXA
22	1K3P
22	1BOT
23	1QF6
23	1OWG
23	1MWJ
24	1NR9
24	1C8U
24	1AKO
24	1AJZ
25	1GU6
26	1MY8
26	1EQ2
26	1B5T
27	1GPQ
28	1CL2
29	1NNX
30	1Q16
30	1PL9
30	1O0C
30	1DV1
31	1MZO
31	1KS9
31	1IYE
31	1DE6
32	1QGD
32	1PVF
32	1LBI
32	1EM8
32	1C5K
34	1P86
34	1NEN
34	1BF6
36	1FUI
37	1VH4
37	1T8Y
37	1P91
37	1P3W
38	3TAT
38	1JKE
38	1HXD
39	1T8Q
40	1UQW
40	1NN4
40	1ESM
41	1KKF
41	1IVN
41	1GNK
41	1FHU
42	2GLS
42	1JZ2
42	1B6S
43	1NEN
43	1IGW
43	1DUV
44	1NEN
44	1GT7
44	1F33
44	1B0A
45	1TE2
45	1QMH
46	1MXR
47	1OYY
47	1EZ1
48	1TDJ
48	1RG9
49	1U2M
49	1P7T
49	1NLM
49	1MFP
49	1FUX
50	1F4L
51	1YAC
51	1V58
51	1G76
51	1EIX
52	1R9Q
52	1QWD
52	1KK9
52	1DW9
54	4FUA
54	1K6D
55	1MPQ
56	1EF9
57	1VHM
58	1GYT
59	1R30
59	1OS1
59	1KMN
60	1CE8
61	1R6B
61	1PSD
61	1HXQ
62	1WDN
62	1Q8F
62	1PMO
62	1PG4
62	1NT4
62	1A99
63	3R1R
63	1VHZ
63	1P7M
63	1MBX
64	2NUL
64	1UAE
64	1P87
64	1MAT
64	1M33
64	1H5S
66	1SR3
66	1Q07
66	1MKB
66	1G7O
66	1DKL
67	1V7U
67	1Q0N
67	1LRU
67	1KO0
67	1INI
67	1GET
68	1KKG
69	1NI9
70	1S5U
70	1HRU
70	1GYN
71	1UA8
71	1P86
72	1ORO
72	1A2J
73	1VIU
73	1T3D
73	1S7C
73	1RCH
73	1A0P
74	1OLT
74	1G4B
74	1CLH
75	1SV6
75	1PQE
75	1N51
75	1EUM
76	1RYA
76	1R3F
76	1QU9
76	1Q8R
76	1P86
77	2USH
77	2GLT
77	1S1M
77	1RRM
77	1PSU
77	1P87
77	1P86
77	1J2R
78	1VIX
78	1VI8
78	1FQ0
78	1EW9
79	1USK
79	1PV2
79	1F0X
79	1EKX
80	1IXH
80	1FOV
81	1T0U
81	1P87
81	1NI7
81	1KQG
81	1JGS
81	1JDI
81	1DDS
82	1SPV
82	1QYA
82	1K0G
82	1IL2
82	1I7H
82	1EEJ
83	1RYK
83	1P87
83	1A6J
84	1VI2
84	1P87
84	1NVI
85	1RQJ
85	1ONR
85	1N8O
85	1KSV
85	1IWN
86	1S03
86	1PF9
86	1P86
86	1M5Y
86	1JNT
86	1HW2
86	1DPP
87	5ABP
87	1QPU
87	1PF5
87	1LN4
87	1GVH
87	1EKR
88	5TMP
88	2REC
88	1QFJ
88	1J6T
88	1GQT
88	1G8E
89	1TKD
89	1QYN
89	1K4K
89	1GSO
89	1DI7
89	1CMC
90	2FMT
90	1P86
90	1KYG
90	1B9L
90	12AS
91	1P87
91	1L0V
91	1K75
91	1JXA
91	1I8D
92	1OJ7
92	1MJC
92	1LV3
92	1JX7
92	1I9D
92	1HNK
92	1EGA
93	2EIP
93	1Q7B
93	1ML5
93	1GZ0
94	1URP
94	1P87
94	1KS2
94	1GN8
94	1AH9
95	1PS6
95	1K7K
95	1HV9
96	2LIV
96	1PB3
96	1MUL
96	1LLS
96	1DU2
96	1BFR
97	1TRE
97	1JHH
97	1IOV
97	1EY1
97	1EUW
97	1DYU
97	1DCJ
98	1NP6
98	1N3G
98	1JKX
99	1WOD
99	1P87
99	1ML8
99	1JW2
99	1AHN
100	2AZO
100	1QR7
100	1FA8
101	1P86
101	1P86
101	1OR7
101	1NYE
103	1P87
103	1H75
105	1R2K
105	1CL0
105	1AKE
106	1PXF
106	1NMN
108	1PUS
108	1K4N
108	1DJ8
109	1PW7
109	1PKY
109	1P87
110	1ETY
112	1VI3
112	1P87
112	1P86
112	1IK4
113	1P87
113	1EW4
113	1CFZ
114	1OI4
115	1S96
116	1IEZ
117	1TUG
129	1P87
133	1JYH
