yourlist:M202103258471C63D39733769F8E060B506551E121A101CL	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
1A6N	P02185	MYG_PHYMC	reviewed	Myoglobin	MB	Physeter macrocephalus (Sperm whale) (Physeter catodon)	154
1ADW	P80401	AZUP_PARPN	reviewed	Pseudoazurin	pazS	Paracoccus pantotrophus (Thiosphaera pantotropha)	145
1ARR	P03050	RARC_BPP22	reviewed	Transcriptional repressor arc	arc	Salmonella phage P22 (Bacteriophage P22)	53
1AU7	P10037	PIT1_RAT	reviewed	Pituitary-specific positive transcription factor 1 (PIT-1) (Growth hormone factor 1) (GHF-1)	Pou1f1 Ghf-1 Pit-1 Pit1	Rattus norvegicus (Rat)	291
1AUE	P42345	MTOR_HUMAN	reviewed	Serine/threonine-protein kinase mTOR (EC 2.7.11.1) (FK506-binding protein 12-rapamycin complex-associated protein 1) (FKBP12-rapamycin complex-associated protein) (Mammalian target of rapamycin) (mTOR) (Mechanistic target of rapamycin) (Rapamycin and FKBP12 target 1) (Rapamycin target protein 1)	MTOR FRAP FRAP1 FRAP2 RAFT1 RAPT1	Homo sapiens (Human)	2549
1AVZ	P03406	NEF_HV1BR	reviewed	Protein Nef (3'ORF) (Negative factor) (F-protein) [Cleaved into: C-terminal core protein]	nef	Human immunodeficiency virus type 1 group M subtype B (isolate BRU/LAI) (HIV-1)	206
1AYI	Q03708	IMM7_ECOLX	reviewed	Colicin-E7 immunity protein (ImmE7) (Microcin-E7 immunity protein)	imm ceiE7	Escherichia coli	87
1B9C	P42212	GFP_AEQVI	reviewed	Green fluorescent protein	GFP	Aequorea victoria (Jellyfish)	238
1BA5	P54274	TERF1_HUMAN	reviewed	Telomeric repeat-binding factor 1 (NIMA-interacting protein 2) (TTAGGG repeat-binding factor 1) (Telomeric protein Pin2/TRF1)	TERF1 PIN2 TRBF1 TRF TRF1	Homo sapiens (Human)	439
1CBI	P62965	RABP1_MOUSE	reviewed	Cellular retinoic acid-binding protein 1 (Cellular retinoic acid-binding protein I) (CRABP-I)	Crabp1	Mus musculus (Mouse)	137
1DIV	P02417	RL9_GEOSE	reviewed	50S ribosomal protein L9 (BL17)	rplI	Geobacillus stearothermophilus (Bacillus stearothermophilus)	149
1DKT	P61024	CKS1_HUMAN	reviewed	Cyclin-dependent kinases regulatory subunit 1 (CKS-1)	CKS1B CKS1 PNAS-143 PNAS-16	Homo sapiens (Human)	79
1DWR	P68082	MYG_HORSE	reviewed	Myoglobin	MB	Equus caballus (Horse)	154
1E0G	P0AEZ7	MLTD_ECOLI	reviewed	Membrane-bound lytic murein transglycosylase D (EC 4.2.2.n1) (Murein hydrolase D) (Regulatory protein DniR)	mltD dniR yafG b0211 JW5018	Escherichia coli (strain K12)	452
1E0L	Q8CGF7	TCRG1_MOUSE	reviewed	Transcription elongation regulator 1 (Formin-binding protein 28) (FBP 28) (TATA box-binding protein-associated factor 2S) (Transcription factor CA150) (p144)	Tcerg1 Taf2s	Mus musculus (Mouse)	1100
1E41	Q13158	FADD_HUMAN	reviewed	FAS-associated death domain protein (FAS-associating death domain-containing protein) (Growth-inhibiting gene 3 protein) (Mediator of receptor induced toxicity) (Protein FADD)	FADD MORT1 GIG3	Homo sapiens (Human)	208
1EHB	P00171	CYB5_BOVIN	reviewed	Cytochrome b5	CYB5A CYB5	Bos taurus (Bovine)	134
1EKG	Q16595	FRDA_HUMAN	reviewed	Frataxin, mitochondrial (EC 1.16.3.1) (Friedreich ataxia protein) (Fxn) [Cleaved into: Frataxin intermediate form (i-FXN); Frataxin(56-210) (m56-FXN); Frataxin(78-210) (d-FXN) (m78-FXN); Frataxin mature form (Frataxin(81-210)) (m81-FXN)]	FXN FRDA X25	Homo sapiens (Human)	210
1FA3	P02881	MONA_DIOCU	reviewed	Monellin chain A (Monellin chain I)		Dioscoreophyllum cumminsii (Serendipity berry) (Rhopalandria cumminsii)	45
1FA3	P02882	MONB_DIOCU	reviewed	Monellin chain B (Monellin chain II)		Dioscoreophyllum cumminsii (Serendipity berry) (Rhopalandria cumminsii)	50
1FEX	Q9NYB0	TE2IP_HUMAN	reviewed	Telomeric repeat-binding factor 2-interacting protein 1 (TERF2-interacting telomeric protein 1) (TRF2-interacting telomeric protein 1) (Dopamine receptor-interacting protein 5) (Repressor/activator protein 1 homolog) (RAP1 homolog) (hRap1)	TERF2IP DRIP5 RAP1 PP8000	Homo sapiens (Human)	399
1FGA	P09038	FGF2_HUMAN	reviewed	Fibroblast growth factor 2 (FGF-2) (Basic fibroblast growth factor) (bFGF) (Heparin-binding growth factor 2) (HBGF-2)	FGF2 FGFB	Homo sapiens (Human)	288
1FTG	P0A3E0	FLAV_NOSSO	reviewed	Flavodoxin	isiB	Nostoc sp. (strain ATCC 29151 / PCC 7119) (Anabaena sp.)	170
1GM1	Q64512	PTN13_MOUSE	reviewed	Tyrosine-protein phosphatase non-receptor type 13 (EC 3.1.3.48) (PTP36) (Protein tyrosine phosphatase DPZPTP) (Protein tyrosine phosphatase PTP-BL) (Protein-tyrosine phosphatase RIP)	Ptpn13 Ptp14	Mus musculus (Mouse)	2453
1GXT	P30131	HYPF_ECOLI	reviewed	Carbamoyltransferase HypF (EC 6.2.-.-) (Carbamoyl phosphate-converting enzyme HypF) ([NiFe]-hydrogenase maturation factor HypF) (Hydrogenase maturation protein HypF)	hypF hydA b2712 JW5433	Escherichia coli (strain K12)	750
1HCD	P13231	HATA_DICDI	reviewed	Hisactophilin-1 (Histidine-rich actin-binding protein 1) (HS I)	hatA abpH DDB_G0282141	Dictyostelium discoideum (Slime mold)	118
1HNG	P08921	CD2_RAT	reviewed	T-cell surface antigen CD2 (LFA-2) (LFA-3 receptor) (OX-34 antigen) (T-cell surface antigen T11/Leu-5) (CD antigen CD2)	Cd2	Rattus norvegicus (Rat)	344
1HRH	P03366	POL_HV1B1	reviewed	Gag-Pol polyprotein (Pr160Gag-Pol) [Cleaved into: Matrix protein p17 (MA); Capsid protein p24 (CA); Spacer peptide 1 (SP1) (p2); Nucleocapsid protein p7 (NC); Transframe peptide (TF); p6-pol (p6*); Protease (EC 3.4.23.16) (PR) (Retropepsin); Reverse transcriptase/ribonuclease H (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.13) (Exoribonuclease H) (EC 3.1.13.2) (p66 RT); p51 RT; p15; Integrase (IN) (EC 2.7.7.-) (EC 3.1.-.-)]	gag-pol	Human immunodeficiency virus type 1 group M subtype B (isolate BH10) (HIV-1)	1447
1I1B	P01584	IL1B_HUMAN	reviewed	Interleukin-1 beta (IL-1 beta) (Catabolin)	IL1B IL1F2	Homo sapiens (Human)	269
1IDY	P06876	MYB_MOUSE	reviewed	Transcriptional activator Myb (Proto-oncogene c-Myb)	Myb	Mus musculus (Mouse)	636
1IFC	P02693	FABPI_RAT	reviewed	Fatty acid-binding protein, intestinal (Fatty acid-binding protein 2) (Intestinal-type fatty acid-binding protein) (I-FABP)	Fabp2 Fabpi	Rattus norvegicus (Rat)	132
1IGS	Q06121	TRPC_SACS2	reviewed	Indole-3-glycerol phosphate synthase (IGPS) (EC 4.1.1.48)	trpC SSO0895	Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) (Sulfolobus solfataricus)	248
1IO2	O74035	RNH2_THEKO	reviewed	Ribonuclease HII (RNase HII) (EC 3.1.26.4)	rnhB TK0805	Thermococcus kodakarensis (strain ATCC BAA-918 / JCM 12380 / KOD1) (Pyrococcus kodakaraensis (strain KOD1))	228
1J5U	Q9X0H1	ARCH_THEMA	reviewed	Protein archease	TM_1083	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	124
1JO8	P15891	ABP1_YEAST	reviewed	Actin-binding protein	ABP1 YCR088W YCR88W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	592
1K0S	Q56311	CHEW_THEMA	reviewed	Chemotaxis protein CheW	cheW TM_0701	Thermotoga maritima (strain ATCC 43589 / MSB8 / DSM 3109 / JCM 10099)	151
1K85	P20533	CHIA1_BACCI	reviewed	Chitinase A1 (EC 3.2.1.14)	chiA1	Bacillus circulans	699
