No.,Protein short name,PDB,Class,Fold,Lpdb,L,pH,"Temp
(°C)","Folding
type",ln(kf),"ln(kf)
(25°C)",,ln(ku),"ln(ku)
(25°C)",,βT,pH,"Temp
(°C)","Folding
type","ln(kf)
",,Comment,,,,,,,,,,,,,,,
1,Arc repressor [1],1ARR_mod (1–106),α,Ribbon-helix-helix ,106,125,7.5,25,2S,9.2 ,,,0.34 ,,,0.78 ,"—
 NA","—
 NA","—
 NA","—
 NA",,"The folding experiments were carried out for the monomeric form of Arc repressor. 1ARR_mod indicates the PDB coordinates of the monomeric form, and the amino-acid residue number was renumbered accordingly.",,,,,,,,,,,,,,,
2,TRF1 (Human) [2],1BA5,α,DNA/RNA-binding 3-helical bundle ,53,53,5.7,25.0 ,2S,5.9 ,,,1.2 ,,,0.90 ,—,—,—,—,,,,,,,,,,,,,,,,,
3,R16 [3],1CUN (7–112),α,Spectrin repeat-like,106,116,7.0 ,25.0 ,2S*,4.8 ,,,-6.0 ,,,0.63 ,—,—,—,—,,,,,,,,,,,,,,,,,
4,R17 [3],1CUN (113–219),α,Spectrin repeat-like,107,116,7.0 ,25.0 ,2S,3.4 ,,,-7.8 ,,,0.61 ,—,—,—,—,,,,,,,,,,,,,,,,,
5,FADD [4],1E41_ (93–192),α,DEATH domain ,100,100,7.0 ,25.0 ,2S,6.9 ,,,-3.2 ,,,0.76 ,—,—,—,—,,,,,,,,,,,,,,,,,
6,RAP1 (Human) [2],1FEX,α,DNA/RNA-binding 3-helical bundle ,59,59,5.7,25.0,2S,8.2 ,,,2.9 ,,,0.82 ,—,—,—,—,,,,,,,,,,,,,,,,,
7,c-Myb [2],1IDY,α,DNA/RNA-binding 3-helical bundle ,54,54,5.7,25.0,2S,8.7 ,,,1.7 ,,,0.79 ,—,—,—,—,,,,,,,,,,,,,,,,,
8,Im9 [5],1IMQ,α,Acyl carrier protein-like ,86,93,7.0,25,2S,7.33 ,,,-1.87 ,,,0.95 ,—,—,—,—,,,,,,,,,,,,,,,,,
9,V1sE (Borrelia burgdorferi) [5],1L8W (Chain B: 29–335),α,Variable surface antigen VlsE,307,338,7.0,20,2S,2.0 ,3.6 ,3.6 ,-8.5 ,-5.0,-5.2 ,0.64 ,—,25,—,—,,"According to Maxwell et al. (5), the V1sE data were adopted from reference (6), where the measurement temperature was 20°C. Hence, we reported 20°C as the measurement temperature, although the AG dataset reported 25°C.",,,,,,,,,,,,,,,
10,λ-Repressor [5],1LMB (6–85),α,Lambda repressor-like DNA-binding domains,80,80,8,25,2S,10.4 ,,,3.2 ,,,0.72 ,—,—,—,—,,,,,,,,,,,,,,,,,
11,PAB [7],1PRB (7–53),α,Immunoglobulin/albumin-binding domain-like,47,47,7.0,74.5,2S,13.8 ,14.3 ,NA,9.9 ,4.7,NA,NA,"—
 NA","—
 NA","—
 NA","—
 NA",,,,,,,,,,,,,,,,,
12,Protein YjbJ [5],1RYK,α,SAM domain-like,69,89,7.0,25,2S,9.1 ,,,4.5 ,,,0.58 ,—,—,—,—,,,,,,,,,,,,,,,,,
13,IGBPA [8],1SS1 (2–60),α,Immunoglobulin/albumin-binding domain-like,59,60,5.5,25.0,2S,11.5 ,,,3.2 ,,,0.83 ,"—
 5.0","—
 37.0",—,"—
 11.7",,"The ACPro and our datasets have adopted the data from reference (8), which is more updated than reference (9) adopted by the Garbuzynskiy dataset.",,,,,,,,,,,,,,,
